,Date,MORTGAGE30US,Monthly_Median_Income,Monthly_Interest_Payment,Monthly_Mortgage_Payment,Total_Mortgage_Payment,Income_to_Total_Mortgage_Ratio
0,1974-12-31,9.187115384615385,933.0566666666667,284.80057692307696,304.34153695425186,589.1421138773288,0.6314108616597014
1,1975-12-31,9.047115384615385,983.3283333333334,310.6176282051282,332.9021927965343,643.5198210016624,0.654430264223373
2,1976-12-31,8.865849056603773,1057.09,336.16344339622646,361.71997509553506,697.8834184917615,0.6601930001151857
3,1977-12-31,8.845192307692308,1131.0958333333333,380.34326923076924,409.4506123790172,789.7938816097865,0.6982554955421135
4,1978-12-31,9.641730769230769,1255.4008333333334,474.0517628205128,502.21649491295676,976.2682577334696,0.7776546197928573
5,1979-12-31,11.203653846153847,1371.8116666666667,584.4572756410256,605.8074364424722,1190.2647120834977,0.8676589804602656
6,1980-12-31,13.742115384615385,1475.7749999999999,760.3970512820514,773.2215595386235,1533.6186108206748,1.0391954131359284
7,1981-12-31,16.641509433962263,1589.5900000000001,976.3018867924528,983.2098196372468,1959.5117064296996,1.2327151695907117
8,1982-12-31,16.043653846153845,1680.9091666666666,957.271346153846,965.3668020256637,1922.6381481795097,1.1438084735965863
9,1983-12-31,13.235384615384616,1740.3658333333333,837.1380769230769,853.5921887061099,1690.7302656291868,0.9714798080073319
10,1984-12-31,13.877692307692307,1867.8391666666666,924.0230128205129,938.9830053216416,1863.0060181421545,0.9974124386024428
11,1985-12-31,12.430192307692307,1968.0874999999999,899.1172435897437,921.6804894775084,1820.797733067252,0.9251609662005638
12,1986-12-31,10.187307692307693,2074.7816666666668,806.4951923076924,846.8720593433322,1653.3672516510246,0.7968873439619869
13,1987-12-31,10.213396226415094,2171.765,948.9947327044025,996.1202578478243,1945.1149905522268,0.8956378754387454
14,1988-12-31,10.341730769230768,2268.7658333333334,981.6026121794871,1028.434601288196,2010.0372134676832,0.8859606328408433
15,1989-12-31,10.319423076923076,2408.9825,1073.22,1124.78027695731,2198.0002769573102,0.9124185322879308
16,1990-12-31,10.129423076923077,2495.2716666666665,1025.6040865384616,1077.8878414540768,2103.4919279925384,0.8429911484557948
17,1991-12-31,9.246538461538462,2510.6858333333334,924.6538461538462,986.9095114882251,1911.5633576420714,0.7613709896567059
18,1992-12-31,8.390188679245282,2552.8816666666667,880.9698113207546,959.0422530530351,1840.0120643737896,0.720758853964555
19,1993-12-31,7.314615384615385,2603.2883333333334,774.1301282051282,871.9368474943308,1646.066975699459,0.6323029818182999
20,1994-12-31,8.38076923076923,2688.6516666666666,921.8846153846154,1003.8329630528544,1925.71757843747,0.7162391477899901
21,1995-12-31,7.934615384615385,2839.5849999999996,912.4807692307692,1006.3120331712244,1918.7928024019934,0.6757300106888836
22,1996-12-31,7.806153846153847,2957.7258333333334,937.3889743589743,1037.9473396483795,1975.3363140073538,0.667856463146608
23,1997-12-31,7.598846153846154,3083.6341666666667,913.1280128205127,1018.0454206786459,1931.1734334991586,0.6262654157794307
24,1998-12-31,6.942641509433962,3240.6283333333336,885.1867924528301,1012.0258233673555,1897.2126158201856,0.5854459137770666
25,1999-12-31,7.4399999999999995,3391.443333333333,1024.86,1149.0178229992666,2173.8778229992668,0.6409889859084382
